Extracting baserom with 4 CPU cores.
extracting baserom/ovl_Bg_Hidan_Syoku (0x00C13C70, 0x00C140D0)
extracting baserom/ovl_Bg_Ice_Objects (0x00C140D0, 0x00C15010)
extracting baserom/ovl_Bg_Ice_Shelter (0x00C15010, 0x00C16250)
extracting baserom/ovl_Bg_Ice_Shutter (0x00C16250, 0x00C166C0)
extracting baserom/ovl_Bg_Ice_Turara (0x00C166C0, 0x00C16EF0)
extracting baserom/ovl_Bg_Ingate (0x00C16EF0, 0x00C17280)
extracting baserom/ovl_Bg_Jya_1flift (0x00C17280, 0x00C17910)
extracting baserom/ovl_Bg_Jya_Amishutter (0x00C17910, 0x00C17CA0)
extracting baserom/ovl_Bg_Jya_Bigmirror (0x00C17CA0, 0x00C184F0)
extracting baserom/ovl_Bg_Jya_Block (0x00C184F0, 0x00C18760)
extracting baserom/ovl_Bg_Jya_Bombchuiwa (0x00C18760, 0x00C192A0)
extracting baserom/ovl_Bg_Jya_Bombiwa (0x00C192A0, 0x00C19860)
extracting baserom/ovl_Bg_Jya_Cobra (0x00C19860, 0x00C1B5A0)
extracting baserom/ovl_Bg_Jya_Goroiwa (0x00C1B5A0, 0x00C1BD20)
extracting baserom/ovl_Bg_Jya_Haheniron (0x00C1BD20, 0x00C1C510)
extracting baserom/ovl_Bg_Jya_Ironobj (0x00C1C510, 0x00C1D2C0)
extracting baserom/ovl_Bg_Jya_Kanaami (0x00C1D2C0, 0x00C1D670)
extracting baserom/ovl_Bg_Jya_Lift (0x00C1D670, 0x00C1DBC0)
extracting baserom/ovl_Bg_Jya_Megami (0x00C1DBC0, 0x00C1EDB0)
extracting baserom/ovl_Bg_Jya_Zurerukabe (0x00C1EDB0, 0x00C1F460)
extracting baserom/ovl_Bg_Menkuri_Eye (0x00C1F460, 0x00C1F8F0)
extracting baserom/ovl_Bg_Menkuri_Kaiten (0x00C1F8F0, 0x00C1FA80)
extracting baserom/ovl_Bg_Menkuri_Nisekabe (0x00C1FA80, 0x00C1FBD0)
extracting baserom/ovl_Bg_Mizu_Bwall (0x00C1FBD0, 0x00C210A0)
extracting baserom/ovl_Bg_Mizu_Movebg (0x00C210A0, 0x00C22220)
extracting baserom/ovl_Bg_Mizu_Shutter (0x00C22220, 0x00C22A20)
extracting baserom/ovl_Bg_Mizu_Uzu (0x00C22A20, 0x00C22BF0)
extracting baserom/ovl_Bg_Mizu_Water (0x00C22BF0, 0x00C238C0)
extracting baserom/ovl_Bg_Mjin (0x00C238C0, 0x00C23CB0)
extracting baserom/ovl_Bg_Mori_Bigst (0x00C23CB0, 0x00C245E0)
extracting baserom/ovl_Bg_Mori_Elevator (0x00C245E0, 0x00C250D0)
extracting baserom/ovl_Bg_Mori_Hashigo (0x00C250D0, 0x00C25990)
extracting baserom/ovl_Bg_Mori_Hashira4 (0x00C25990, 0x00C25F10)
extracting baserom/ovl_Bg_Mori_Hineri (0x00C25F10, 0x00C26C60)
extracting baserom/ovl_Bg_Mori_Idomizu (0x00C26C60, 0x00C272A0)
extracting baserom/ovl_Bg_Mori_Kaitenkabe (0x00C272A0, 0x00C27910)
extracting baserom/ovl_Bg_Mori_Rakkatenjo (0x00C27910, 0x00C28290)
extracting baserom/ovl_Bg_Po_Event (0x00C28290, 0x00C2A0C0)
extracting baserom/ovl_Bg_Po_Syokudai (0x00C2A0C0, 0x00C2AA30)
extracting baserom/ovl_Bg_Pushbox (0x00C2AA30, 0x00C2AD30)
extracting baserom/ovl_Bg_Relay_Objects (0x00C2AD30, 0x00C2B4E0)
extracting baserom/ovl_Bg_Spot00_Break (0x00C2B4E0, 0x00C2B680)
extracting baserom/ovl_Bg_Spot00_Hanebasi (0x00C2B680, 0x00C2C790)
extracting baserom/ovl_Bg_Spot01_Fusya (0x00C2C790, 0x00C2CA30)
extracting baserom/ovl_Bg_Spot01_Idohashira (0x00C2CA30, 0x00C2D630)
extracting baserom/ovl_Bg_Spot01_Idomizu (0x00C2D630, 0x00C2D950)
extracting baserom/ovl_Bg_Spot01_Idosoko (0x00C2D950, 0x00C2DB60)
extracting baserom/ovl_Bg_Spot01_Objects2 (0x00C2DB60, 0x00C2E020)
extracting baserom/ovl_Bg_Spot02_Objects (0x00C2E020, 0x00C2F380)
extracting baserom/ovl_Bg_Spot03_Taki (0x00C2F380, 0x00C2FCA0)
extracting baserom/ovl_Bg_Spot05_Soko (0x00C2FCA0, 0x00C2FFC0)
extracting baserom/ovl_Bg_Spot06_Objects (0x00C2FFC0, 0x00C313C0)
extracting baserom/ovl_Bg_Spot07_Taki (0x00C313C0, 0x00C319B0)
extracting baserom/ovl_Bg_Spot08_Bakudankabe (0x00C319B0, 0x00C32050)
extracting baserom/ovl_Bg_Spot08_Iceblock (0x00C32050, 0x00C33090)
extracting baserom/ovl_Bg_Spot09_Obj (0x00C33090, 0x00C335B0)
