Index,File,Are equals,Size in ntsc_1.0,Size in ntsc_1.1,Size proportion,Size difference,Bytes different,Words different,Opcodes difference,Same opcode but different arguments
49,ovl_En_Wallmas rodata,True,16,16,1.0,0,0,0,,
49,ovl_En_Wallmas reloc,True,444,444,1.0,0,0,0,,
50,ovl_En_Dodongo text,False,9616,9616,1.0,0,40,39,0,39
50,ovl_En_Dodongo data,False,928,928,1.0,0,8,6,,
50,ovl_En_Dodongo rodata,False,288,288,1.0,0,70,50,,
50,ovl_En_Dodongo reloc,True,812,812,1.0,0,0,0,,
51,ovl_En_Firefly text,False,7792,7792,1.0,0,55,51,0,51
51,ovl_En_Firefly data,False,208,208,1.0,0,8,5,,
51,ovl_En_Firefly rodata,True,32,32,1.0,0,0,0,,
51,ovl_En_Firefly reloc,True,496,496,1.0,0,0,0,,
52,ovl_En_Horse text,False,43856,43856,1.0,0,493,416,0,416
52,ovl_En_Horse data,False,2544,2544,1.0,0,46,39,,
52,ovl_En_Horse rodata,True,400,400,1.0,0,0,0,,
52,ovl_En_Horse reloc,True,2868,2868,1.0,0,0,0,,
53,ovl_En_Arrow text,False,5056,5056,1.0,0,17,17,0,17
53,ovl_En_Arrow data,False,384,384,1.0,0,4,4,,
53,ovl_En_Arrow rodata,False,80,80,1.0,0,10,10,,
53,ovl_En_Arrow reloc,True,324,324,1.0,0,0,0,,
54,ovl_En_Elf text,False,17264,17264,1.0,0,175,147,0,147
54,ovl_En_Elf data,False,176,176,1.0,0,6,4,,
54,ovl_En_Elf rodata,False,256,256,1.0,0,26,21,,
54,ovl_En_Elf reloc,True,1148,1148,1.0,0,0,0,,
55,ovl_En_Niw text,False,11616,11616,1.0,0,1732,546,392,154
55,ovl_En_Niw data,False,320,320,1.0,0,4,4,,
55,ovl_En_Niw rodata,False,208,208,1.0,0,25,20,,
55,ovl_En_Niw reloc,False,936,936,1.0,0,29,28,,
56,ovl_En_Tite text,False,10960,10960,1.0,0,60,48,0,48
56,ovl_En_Tite data,False,320,320,1.0,0,8,5,,
56,ovl_En_Tite rodata,True,16,16,1.0,0,0,0,,
56,ovl_En_Tite reloc,True,360,360,1.0,0,0,0,,
57,ovl_En_Reeba text,False,5984,5984,1.0,0,14,11,0,11
57,ovl_En_Reeba data,False,144,144,1.0,0,4,4,,
57,ovl_En_Reeba rodata,False,112,112,1.0,0,21,19,,
57,ovl_En_Reeba reloc,True,504,504,1.0,0,0,0,,
58,ovl_En_Peehat text,False,12832,12832,1.0,0,75,71,0,71
58,ovl_En_Peehat data,False,368,368,1.0,0,5,5,,
58,ovl_En_Peehat rodata,True,128,128,1.0,0,0,0,,
58,ovl_En_Peehat reloc,True,724,724,1.0,0,0,0,,
59,ovl_En_Holl text,False,3584,3584,1.0,0,15,14,0,14
59,ovl_En_Holl data,False,208,208,1.0,0,13,12,,
59,ovl_En_Holl rodata,True,16,16,1.0,0,0,0,,
59,ovl_En_Holl reloc,True,208,208,1.0,0,0,0,,
60,ovl_En_Scene_Change text,False,208,208,1.0,0,1,1,0,1
60,ovl_En_Scene_Change data,False,32,32,1.0,0,5,4,,
60,ovl_En_Scene_Change reloc,True,28,28,1.0,0,0,0,,
61,ovl_En_Zf text,False,24704,24704,1.0,0,256,239,0,239
61,ovl_En_Zf data,False,640,640,1.0,0,6,4,,
61,ovl_En_Zf rodata,False,288,288,1.0,0,40,40,,
61,ovl_En_Zf bss,True,16,16,1.0,0,0,0,,
61,ovl_En_Zf reloc,True,1708,1708,1.0,0,0,0,,
62,ovl_En_Hata text,False,1200,1200,1.0,0,2,2,0,2
62,ovl_En_Hata data,False,112,112,1.0,0,4,4,,
62,ovl_En_Hata rodata,True,16,16,1.0,0,0,0,,
62,ovl_En_Hata reloc,True,72,72,1.0,0,0,0,,
63,ovl_Boss_Dodongo text,False,24032,24032,1.0,0,168,143,0,143
63,ovl_Boss_Dodongo data,False,13760,13760,1.0,0,5,5,,
63,ovl_Boss_Dodongo rodata,False,416,416,1.0,0,17,15,,
63,ovl_Boss_Dodongo reloc,True,1416,1416,1.0,0,0,0,,
64,ovl_Boss_Goma text,False,21408,21408,1.0,0,159,140,0,140
64,ovl_Boss_Goma data,False,1520,1520,1.0,0,6,5,,
64,ovl_Boss_Goma rodata,False,304,304,1.0,0,73,45,,
64,ovl_Boss_Goma reloc,True,1184,1184,1.0,0,0,0,,
65,ovl_En_Zl1 text,False,6768,6768,1.0,0,76,60,0,60
