Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
276,ovl_En_Dns,False,5008,5520,0.907,-512,4195
277,ovl_En_Dnt_Demo,False,3360,4608,0.729,-1248,3022
278,ovl_En_Dnt_Jiji,False,5408,6112,0.885,-704,4830
279,ovl_En_Dnt_Nomal,False,11776,12544,0.939,-768,10718
280,ovl_En_Dodojr,False,7840,7824,1.002,16,5401
281,ovl_En_Dodongo,False,11680,11648,1.003,32,9588
282,ovl_En_Dog,False,4528,4608,0.983,-80,3283
283,ovl_En_Door,False,3648,3680,0.991,-32,3127
284,ovl_En_Ds,False,3104,3072,1.01,32,2451
285,ovl_En_Du,False,6800,6848,0.993,-48,5375
286,ovl_En_Dy_Extra,False,1440,1696,0.849,-256,1305
287,ovl_En_Eg,False,432,528,0.818,-96,339
288,ovl_En_Eiyer,False,7264,7312,0.993,-48,6240
289,ovl_En_Elf,False,18880,19184,0.984,-304,14840
290,ovl_En_Encount1,False,2912,4720,0.617,-1808,2637
291,ovl_En_Encount2,False,4656,5392,0.864,-736,4069
292,ovl_En_Ex_Item,False,4480,5488,0.816,-1008,4130
293,ovl_En_Ex_Ruppy,False,4288,4784,0.896,-496,3816
294,ovl_En_Fd,False,11424,11760,0.971,-336,8691
295,ovl_En_Fd_Fire,False,3344,3504,0.954,-160,2628
296,ovl_En_Fhg_Fire,False,9888,10688,0.925,-800,8835
297,ovl_En_Fire_Rock,False,4368,5200,0.84,-832,3929
298,ovl_En_Firefly,False,8560,8720,0.982,-160,7457
299,ovl_En_Fish,False,8464,8848,0.957,-384,7180
300,ovl_En_Floormas,False,13280,13456,0.987,-176,11470
301,ovl_En_Fr,False,10896,11888,0.917,-992,9787
302,ovl_En_Fu,False,3392,3456,0.981,-64,2778
303,ovl_En_Fw,False,6080,6176,0.984,-96,4407
304,ovl_En_Fz,False,8208,8448,0.972,-240,6715
305,ovl_En_G_Switch,False,6176,7840,0.788,-1664,5617
306,ovl_En_Ganon_Mant,False,16944,17056,0.993,-112,9187
307,ovl_En_Ganon_Organ,False,28736,29056,0.989,-320,18157
308,ovl_En_Gb,False,5936,6128,0.969,-192,4987
309,ovl_En_Ge1,False,8240,8800,0.936,-560,6901
