Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
601,object_mori_hineri1a,True,13504,13504,1.0,0,0
602,object_mori_hineri2,True,17408,17408,1.0,0,0
603,object_mori_hineri2a,True,24752,24752,1.0,0,0
604,object_mori_objects,True,35344,35344,1.0,0,0
605,object_mori_tex,True,40448,40448,1.0,0,0
606,object_spot08_obj,True,22016,22016,1.0,0,0
607,object_warp2,True,16,16,1.0,0,0
608,object_hata,True,12256,12256,1.0,0,0
609,object_bird,True,8608,8608,1.0,0,0
610,object_wood02,True,34768,34768,1.0,0,0
611,object_lightbox,True,8000,8000,1.0,0,0
612,object_pu_box,True,5632,5632,1.0,0,0
613,object_trap,True,9184,9184,1.0,0,0
614,object_vase,True,5520,5520,1.0,0,0
615,object_im,True,74288,74288,1.0,0,0
616,object_ta,True,58352,58352,1.0,0,0
617,object_tk,True,48720,48720,1.0,0,0
618,object_xc,True,114944,114944,1.0,0,0
619,object_vm,True,16240,16240,1.0,0,0
620,object_bv,True,127408,127408,1.0,0,0
621,object_hakach_objects,True,27376,27376,1.0,0,0
622,object_efc_crystal_light,True,2720,2720,1.0,0,0
623,object_efc_fire_ball,True,3328,3328,1.0,0,0
624,object_efc_flash,True,16,16,1.0,0,0
625,object_efc_lgt_shower,True,4816,4816,1.0,0,0
626,object_efc_star_field,True,6096,6096,1.0,0,0
627,object_god_lgt,True,17232,17232,1.0,0,0
628,object_light_ring,True,4736,4736,1.0,0,0
629,object_triforce_spot,True,10512,10512,1.0,0,0
630,object_medal,True,20800,20800,1.0,0,0
631,object_bdan_objects,True,52496,52496,1.0,0,0
632,object_sd,True,50912,50912,1.0,0,0
633,object_rd,True,61424,61424,1.0,0,0
634,object_po_sisters,True,58304,58304,1.0,0,0
635,object_heavy_object,True,6880,6880,1.0,0,0
636,object_gndd,True,72192,72192,1.0,0,0
637,object_fd,True,71280,71280,1.0,0,0
638,object_du,True,73776,73776,1.0,0,0
639,object_fw,True,32224,32224,1.0,0,0
640,object_horse_link_child,True,35616,35616,1.0,0,0
641,object_spot02_objects,True,91680,91680,1.0,0,0
642,object_haka,True,5216,5216,1.0,0,0
643,object_ru1,True,80512,80512,1.0,0,0
644,object_syokudai,True,15504,15504,1.0,0,0
645,object_fd2,True,72336,72336,1.0,0,0
646,object_dh,True,37056,37056,1.0,0,0
647,object_rl,True,31568,31568,1.0,0,0
648,object_efc_tw,True,4848,4848,1.0,0,0
649,object_demo_tre_lgt,True,16,16,1.0,0,0
650,object_gi_key,True,2592,2592,1.0,0,0
651,object_mir_ray,True,7424,7424,1.0,0,0
652,object_brob,True,6816,6816,1.0,0,0
653,object_gi_jewel,True,13952,13952,1.0,0,0
654,object_spot09_obj,True,100496,100496,1.0,0,0
655,object_spot18_obj,True,51728,51728,1.0,0,0
656,object_bdoor,True,30144,30144,1.0,0,0
657,object_spot17_obj,True,6192,6192,1.0,0,0
658,object_shop_dungen,True,14880,14880,1.0,0,0
659,object_nb,True,98784,98784,1.0,0,0
660,object_mo,True,36976,36976,1.0,0,0
661,object_sb,True,11424,11424,1.0,0,0
662,object_gi_melody,True,3360,3360,1.0,0,0
663,object_gi_heart,True,496,496,1.0,0,0
664,object_gi_compass,True,3344,3344,1.0,0,0
665,object_gi_bosskey,True,4112,4112,1.0,0,0
666,object_gi_medal,True,21360,21360,1.0,0,0
667,object_gi_nuts,True,4544,4544,1.0,0,0
668,object_sa,True,86576,86576,1.0,0,0
669,object_gi_hearts,True,6064,6064,1.0,0,0
670,object_gi_arrowcase,True,3248,3248,1.0,0,0
671,object_gi_bombpouch,True,3680,3680,1.0,0,0
672,object_in,True,101456,101456,1.0,0,0
673,object_tr,True,77360,77360,1.0,0,0
674,object_spot16_obj,True,5376,5376,1.0,0,0
675,object_oE1s,True,25952,25952,1.0,0,0
676,object_oE4s,True,19968,19968,1.0,0,0
677,object_os_anime,True,42560,42560,1.0,0,0
678,object_gi_bottle,True,2288,2288,1.0,0,0
679,object_gi_stick,True,1728,1728,1.0,0,0
680,object_gi_map,True,4448,4448,1.0,0,0
681,object_oF1d_map,True,66976,66976,1.0,0,0
682,object_ru2,True,63696,63696,1.0,0,0
683,object_gi_shield_1,True,3408,3408,1.0,0,0
684,object_dekujr,True,13584,13584,1.0,0,0
685,object_gi_magicpot,True,4560,4560,1.0,0,0
686,object_gi_bomb_1,True,3248,3248,1.0,0,0
687,object_oF1s,True,34976,34976,1.0,0,0
688,object_ma2,True,40688,40688,1.0,0,0
689,object_gi_purse,True,7024,7024,1.0,0,0
690,object_hni,True,44912,44912,1.0,0,0
691,object_tw,True,241584,241584,1.0,0,0
692,object_rr,True,3584,3584,1.0,0,0
693,object_bxa,True,11248,11248,1.0,0,0
694,object_anubice,True,14752,14752,1.0,0,0
695,object_gi_gerudo,True,4928,4928,1.0,0,0
696,object_gi_arrow,True,6928,6928,1.0,0,0
697,object_gi_bomb_2,True,1696,1696,1.0,0,0
698,object_gi_egg,True,4896,4896,1.0,0,0
699,object_gi_scale,True,3568,3568,1.0,0,0
700,object_gi_shield_2,True,4208,4208,1.0,0,0
701,object_gi_hookshot,True,5472,5472,1.0,0,0
702,object_gi_ocarina,True,2992,2992,1.0,0,0
703,object_gi_milk,True,5232,5232,1.0,0,0
704,object_ma1,True,36224,36224,1.0,0,0
705,object_ganon,True,70912,70912,1.0,0,0
706,object_sst,True,109488,109488,1.0,0,0
707,object_ny,True,8560,8560,1.0,0,0
708,object_fr,True,46256,46256,1.0,0,0
709,object_gi_pachinko,True,3168,3168,1.0,0,0
710,object_gi_boomerang,True,3488,3488,1.0,0,0
711,object_gi_bow,True,3376,3376,1.0,0,0
712,object_gi_glasses,True,4480,4480,1.0,0,0
713,object_gi_liquid,True,6352,6352,1.0,0,0
714,object_ani,True,30464,30464,1.0,0,0
715,object_demo_6k,True,15264,15264,1.0,0,0
716,object_gi_shield_3,True,4800,4800,1.0,0,0
717,object_gi_letter,True,3584,3584,1.0,0,0
718,object_spot15_obj,True,7424,7424,1.0,0,0
719,object_jya_obj,True,115008,115008,1.0,0,0
720,object_gi_clothes,True,6240,6240,1.0,0,0
721,object_gi_bean,True,2240,2240,1.0,0,0
722,object_gi_fish,True,2384,2384,1.0,0,0
723,object_gi_saw,True,2944,2944,1.0,0,0
724,object_gi_hammer,True,3264,3264,1.0,0,0
725,object_gi_grass,True,3088,3088,1.0,0,0
726,object_gi_longsword,True,2240,2240,1.0,0,0
727,object_spot01_objects,True,9360,9360,1.0,0,0
728,object_md,True,41296,41296,1.0,0,0
729,object_km1,True,22976,22976,1.0,0,0
730,object_kw1,True,26848,26848,1.0,0,0
731,object_zo,True,49216,49216,1.0,0,0
732,object_kz,True,34528,34528,1.0,0,0
733,object_umajump,True,5232,5232,1.0,0,0
734,object_masterkokiri,True,1216,1216,1.0,0,0
735,object_masterkokirihead,True,11424,11424,1.0,0,0
736,object_mastergolon,True,272,272,1.0,0,0
737,object_masterzoora,True,1952,1952,1.0,0,0
738,object_aob,True,22192,22192,1.0,0,0
