extracting baserom/ovl_En_Mb (0x00C82E90, 0x00C86FD0)
extracting baserom/ovl_En_Bombf (0x00C86FD0, 0x00C88440)
extracting baserom/ovl_Bg_Hidan_Firewall (0x00C88440, 0x00C88BA0)
extracting baserom/ovl_Bg_Dy_Yoseizo (0x00C88BA0, 0x00C8B8F0)
extracting baserom/ovl_En_Zl2 (0x00C8B8F0, 0x00C90020)
extracting baserom/ovl_Bg_Hidan_Fslift (0x00C90020, 0x00C904F0)
extracting baserom/ovl_En_OE2 (0x00C904F0, 0x00C905D0)
extracting baserom/ovl_Bg_Ydan_Hasi (0x00C905D0, 0x00C90D80)
extracting baserom/ovl_Bg_Ydan_Maruta (0x00C90D80, 0x00C91460)
extracting baserom/ovl_Boss_Ganondrof (0x00C91460, 0x00C961D0)
extracting baserom/ovl_En_Am (0x00C961D0, 0x00C985D0)
extracting baserom/ovl_En_Dekubaba (0x00C985D0, 0x00C9C070)
extracting baserom/ovl_En_M_Fire1 (0x00C9C070, 0x00C9C210)
extracting baserom/ovl_En_M_Thunder (0x00C9C210, 0x00C9D800)
extracting baserom/ovl_Bg_Ddan_Jd (0x00C9D800, 0x00C9DE50)
extracting baserom/ovl_Bg_Breakwall (0x00C9DE50, 0x00C9ECC0)
extracting baserom/ovl_En_Jj (0x00C9ECC0, 0x00CA0290)
extracting baserom/ovl_En_Horse_Zelda (0x00CA0290, 0x00CA0D80)
extracting baserom/ovl_Bg_Ddan_Kd (0x00CA0D80, 0x00CA1670)
extracting baserom/ovl_Door_Warp1 (0x00CA1670, 0x00CA5910)
extracting baserom/ovl_Obj_Syokudai (0x00CA5910, 0x00CA6540)
extracting baserom/ovl_Item_B_Heart (0x00CA6540, 0x00CA6930)
extracting baserom/ovl_En_Dekunuts (0x00CA6930, 0x00CA8130)
extracting baserom/ovl_Bg_Menkuri_Kaiten (0x00CA8130, 0x00CA82C0)
extracting baserom/ovl_Bg_Menkuri_Eye (0x00CA82C0, 0x00CA8750)
