Extracting baserom with 4 CPU cores.
extracting baserom/ovl_Bg_Hidan_Syoku (0x00C5E100, 0x00C5E550)
extracting baserom/ovl_Bg_Ice_Objects (0x00C5E550, 0x00C5F480)
extracting baserom/ovl_Bg_Ice_Shelter (0x00C5F480, 0x00C60800)
extracting baserom/ovl_Bg_Ice_Shutter (0x00C60800, 0x00C60C60)
extracting baserom/ovl_Bg_Ice_Turara (0x00C60C60, 0x00C61480)
extracting baserom/ovl_Bg_Ingate (0x00C61480, 0x00C618A0)
extracting baserom/ovl_Bg_Jya_1flift (0x00C618A0, 0x00C62000)
extracting baserom/ovl_Bg_Jya_Amishutter (0x00C62000, 0x00C62420)
extracting baserom/ovl_Bg_Jya_Bigmirror (0x00C62420, 0x00C62EE0)
extracting baserom/ovl_Bg_Jya_Block (0x00C62EE0, 0x00C631E0)
extracting baserom/ovl_Bg_Jya_Bombchuiwa (0x00C631E0, 0x00C63EE0)
extracting baserom/ovl_Bg_Jya_Bombiwa (0x00C63EE0, 0x00C64630)
extracting baserom/ovl_Bg_Jya_Cobra (0x00C64630, 0x00C666B0)
extracting baserom/ovl_Bg_Jya_Goroiwa (0x00C666B0, 0x00C66E00)
extracting baserom/ovl_Bg_Jya_Haheniron (0x00C66E00, 0x00C675E0)
extracting baserom/ovl_Bg_Jya_Ironobj (0x00C675E0, 0x00C68480)
extracting baserom/ovl_Bg_Jya_Kanaami (0x00C68480, 0x00C688E0)
extracting baserom/ovl_Bg_Jya_Lift (0x00C688E0, 0x00C68E70)
extracting baserom/ovl_Bg_Jya_Megami (0x00C68E70, 0x00C6A180)
extracting baserom/ovl_Bg_Jya_Zurerukabe (0x00C6A180, 0x00C6A9B0)
extracting baserom/ovl_Bg_Menkuri_Eye (0x00C6A9B0, 0x00C6AEE0)
extracting baserom/ovl_Bg_Menkuri_Kaiten (0x00C6AEE0, 0x00C6B060)
extracting baserom/ovl_Bg_Menkuri_Nisekabe (0x00C6B060, 0x00C6B1B0)
extracting baserom/ovl_Bg_Mizu_Bwall (0x00C6B1B0, 0x00C6C960)
extracting baserom/ovl_Bg_Mizu_Movebg (0x00C6C960, 0x00C6DB70)
extracting baserom/ovl_Bg_Mizu_Shutter (0x00C6DB70, 0x00C6E400)
extracting baserom/ovl_Bg_Mizu_Uzu (0x00C6E400, 0x00C6E5D0)
extracting baserom/ovl_Bg_Mizu_Water (0x00C6E5D0, 0x00C6F4A0)
extracting baserom/ovl_Bg_Mjin (0x00C6F4A0, 0x00C6F8E0)
extracting baserom/ovl_Bg_Mori_Bigst (0x00C6F8E0, 0x00C70520)
extracting baserom/ovl_Bg_Mori_Elevator (0x00C70520, 0x00C71280)
extracting baserom/ovl_Bg_Mori_Hashigo (0x00C71280, 0x00C71D80)
extracting baserom/ovl_Bg_Mori_Hashira4 (0x00C71D80, 0x00C724E0)
extracting baserom/ovl_Bg_Mori_Hineri (0x00C724E0, 0x00C73350)
extracting baserom/ovl_Bg_Mori_Idomizu (0x00C73350, 0x00C73AD0)
extracting baserom/ovl_Bg_Mori_Kaitenkabe (0x00C73AD0, 0x00C74280)
extracting baserom/ovl_Bg_Mori_Rakkatenjo (0x00C74280, 0x00C74F20)
extracting baserom/ovl_Bg_Po_Event (0x00C74F20, 0x00C76DB0)
extracting baserom/ovl_Bg_Po_Syokudai (0x00C76DB0, 0x00C777E0)
extracting baserom/ovl_Bg_Pushbox (0x00C777E0, 0x00C77B50)
extracting baserom/ovl_Bg_Relay_Objects (0x00C77B50, 0x00C782E0)
extracting baserom/ovl_Bg_Spot00_Break (0x00C782E0, 0x00C78480)
extracting baserom/ovl_Bg_Spot00_Hanebasi (0x00C78480, 0x00C796C0)
extracting baserom/ovl_Bg_Spot01_Fusya (0x00C796C0, 0x00C799E0)
extracting baserom/ovl_Bg_Spot01_Idohashira (0x00C799E0, 0x00C7A7E0)
extracting baserom/ovl_Bg_Spot01_Idomizu (0x00C7A7E0, 0x00C7AB80)
extracting baserom/ovl_Bg_Spot01_Idosoko (0x00C7AB80, 0x00C7AE40)
extracting baserom/ovl_Bg_Spot01_Objects2 (0x00C7AE40, 0x00C7B360)
extracting baserom/ovl_Bg_Spot02_Objects (0x00C7B360, 0x00C7C7E0)
extracting baserom/ovl_Bg_Spot03_Taki (0x00C7C7E0, 0x00C7D170)
extracting baserom/ovl_Bg_Spot05_Soko (0x00C7D170, 0x00C7D480)
extracting baserom/ovl_Bg_Spot06_Objects (0x00C7D480, 0x00C7E930)
extracting baserom/ovl_Bg_Spot07_Taki (0x00C7E930, 0x00C7EFD0)
extracting baserom/ovl_Bg_Spot08_Bakudankabe (0x00C7EFD0, 0x00C7F660)
extracting baserom/ovl_Bg_Spot08_Iceblock (0x00C7F660, 0x00C807E0)
extracting baserom/ovl_Bg_Spot09_Obj (0x00C807E0, 0x00C80E80)
extracting baserom/ovl_Bg_Spot11_Bakudankabe (0x00C80E80, 0x00C814F0)
extracting baserom/ovl_Bg_Spot11_Oasis (0x00C814F0, 0x00C81C90)
