extracting baserom/ovl_Bg_Hidan_Curtain (0x00C81C80, 0x00C82720)
extracting baserom/ovl_Bg_Spot00_Hanebasi (0x00C82720, 0x00C83830)
extracting baserom/ovl_En_Mb (0x00C83830, 0x00C87A40)
extracting baserom/ovl_En_Bombf (0x00C87A40, 0x00C88EB0)
extracting baserom/ovl_Bg_Hidan_Firewall (0x00C88EB0, 0x00C89610)
extracting baserom/ovl_Bg_Dy_Yoseizo (0x00C89610, 0x00C8C410)
extracting baserom/ovl_En_Zl2 (0x00C8C410, 0x00C90B40)
extracting baserom/ovl_Bg_Hidan_Fslift (0x00C90B40, 0x00C91010)
extracting baserom/ovl_En_OE2 (0x00C91010, 0x00C910F0)
extracting baserom/ovl_Bg_Ydan_Hasi (0x00C910F0, 0x00C918A0)
extracting baserom/ovl_Bg_Ydan_Maruta (0x00C918A0, 0x00C91F80)
extracting baserom/ovl_Boss_Ganondrof (0x00C91F80, 0x00C96CF0)
extracting baserom/ovl_En_Am (0x00C96CF0, 0x00C990F0)
extracting baserom/ovl_En_Dekubaba (0x00C990F0, 0x00C9CB90)
extracting baserom/ovl_En_M_Fire1 (0x00C9CB90, 0x00C9CD30)
extracting baserom/ovl_En_M_Thunder (0x00C9CD30, 0x00C9E320)
extracting baserom/ovl_Bg_Ddan_Jd (0x00C9E320, 0x00C9E970)
extracting baserom/ovl_Bg_Breakwall (0x00C9E970, 0x00C9F7E0)
extracting baserom/ovl_En_Jj (0x00C9F7E0, 0x00CA0DB0)
extracting baserom/ovl_En_Horse_Zelda (0x00CA0DB0, 0x00CA18A0)
extracting baserom/ovl_Bg_Ddan_Kd (0x00CA18A0, 0x00CA2190)
extracting baserom/ovl_Door_Warp1 (0x00CA2190, 0x00CA6430)
extracting baserom/ovl_Obj_Syokudai (0x00CA6430, 0x00CA7060)
extracting baserom/ovl_Item_B_Heart (0x00CA7060, 0x00CA7450)
extracting baserom/ovl_En_Dekunuts (0x00CA7450, 0x00CA8C50)
extracting baserom/ovl_Bg_Menkuri_Kaiten (0x00CA8C50, 0x00CA8DE0)
extracting baserom/ovl_Bg_Menkuri_Eye (0x00CA8DE0, 0x00CA9270)
extracting baserom/ovl_En_Vali (0x00CA9270, 0x00CAB910)
extracting baserom/ovl_Bg_Mizu_Movebg (0x00CAB910, 0x00CACAA0)
extracting baserom/ovl_Bg_Mizu_Water (0x00CACAA0, 0x00CAD770)
extracting baserom/ovl_Arms_Hook (0x00CAD770, 0x00CAE4D0)
extracting baserom/ovl_En_fHG (0x00CAE4D0, 0x00CB0E00)
extracting baserom/ovl_Bg_Mori_Hineri (0x00CB0E00, 0x00CB1B00)
extracting baserom/ovl_En_Bb (0x00CB1B00, 0x00CB57D0)
extracting baserom/ovl_Bg_Toki_Hikari (0x00CB57D0, 0x00CB6570)
extracting baserom/ovl_En_Yukabyun (0x00CB6570, 0x00CB6B80)
extracting baserom/ovl_Bg_Toki_Swd (0x00CB6B80, 0x00CB81D0)
extracting baserom/ovl_En_Fhg_Fire (0x00CB81D0, 0x00CBA7F0)
extracting baserom/ovl_Bg_Mjin (0x00CBA7F0, 0x00CBABD0)
extracting baserom/ovl_Bg_Hidan_Kousi (0x00CBABD0, 0x00CBB150)
extracting baserom/ovl_Door_Toki (0x00CBB150, 0x00CBB2B0)
extracting baserom/ovl_Bg_Hidan_Hamstep (0x00CBB2B0, 0x00CBC160)
extracting baserom/ovl_En_Bird (0x00CBC160, 0x00CBC620)
extracting baserom/ovl_En_Wood02 (0x00CBC620, 0x00CBD7F0)
extracting baserom/ovl_En_Lightbox (0x00CBD7F0, 0x00CBDC70)
extracting baserom/ovl_En_Pu_box (0x00CBDC70, 0x00CBDFB0)
extracting baserom/ovl_En_Trap (0x00CBDFB0, 0x00CBF250)
extracting baserom/ovl_En_Arow_Trap (0x00CBF250, 0x00CBF3A0)
extracting baserom/ovl_En_Vase (0x00CBF3A0, 0x00CBF4A0)
extracting baserom/ovl_En_Ta (0x00CBF4A0, 0x00CC2E60)
extracting baserom/ovl_En_Tk (0x00CC2E60, 0x00CC4C90)
extracting baserom/ovl_Bg_Mori_Bigst (0x00CC4C90, 0x00CC55C0)
extracting baserom/ovl_Bg_Mori_Elevator (0x00CC55C0, 0x00CC60B0)
extracting baserom/ovl_Bg_Mori_Kaitenkabe (0x00CC60B0, 0x00CC6710)
extracting baserom/ovl_Bg_Mori_Rakkatenjo (0x00CC6710, 0x00CC7080)
extracting baserom/ovl_En_Vm (0x00CC7080, 0x00CC8930)
extracting baserom/ovl_Demo_Effect (0x00CC8930, 0x00CCE430)
extracting baserom/ovl_Demo_Kankyo (0x00CCE430, 0x00CD20E0)
extracting baserom/ovl_Bg_Hidan_Fwbig (0x00CD20E0, 0x00CD2DC0)
extracting baserom/ovl_En_Floormas (0x00CD2DC0, 0x00CD61A0)
extracting baserom/ovl_En_Heishi1 (0x00CD61A0, 0x00CD76B0)
extracting baserom/ovl_En_Rd (0x00CD76B0, 0x00CD9F60)
extracting baserom/ovl_En_Po_Sisters (0x00CD9F60, 0x00CDEC50)
extracting baserom/ovl_Bg_Heavy_Block (0x00CDEC50, 0x00CE0540)
extracting baserom/ovl_Bg_Po_Event (0x00CE0540, 0x00CE2370)
extracting baserom/ovl_Obj_Mure (0x00CE2370, 0x00CE3380)
extracting baserom/ovl_En_Sw (0x00CE3380, 0x00CE6AF0)
extracting baserom/ovl_Boss_Fd (0x00CE6AF0, 0x00CEDE20)
extracting baserom/ovl_Object_Kankyo (0x00CEDE20, 0x00CF1040)
extracting baserom/ovl_En_Du (0x00CF1040, 0x00CF2AE0)
extracting baserom/ovl_En_Fd (0x00CF2AE0, 0x00CF57A0)
