Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
96,ovl_Bg_Jya_Cobra,False,7456,8320,0.896,-864,6757
97,ovl_Bg_Jya_Goroiwa,False,1920,1872,1.026,48,1553
98,ovl_Bg_Jya_Haheniron,False,2032,2016,1.008,16,1259
99,ovl_Bg_Jya_Ironobj,False,3504,3744,0.936,-240,3011
100,ovl_Bg_Jya_Kanaami,False,944,1120,0.843,-176,811
101,ovl_Bg_Jya_Lift,False,1360,1424,0.955,-64,1136
102,ovl_Bg_Jya_Megami,False,4576,4880,0.938,-304,3831
103,ovl_Bg_Jya_Zurerukabe,False,1712,2096,0.817,-384,1532
104,ovl_Bg_Menkuri_Eye,False,1168,1328,0.88,-160,1009
105,ovl_Bg_Menkuri_Kaiten,False,400,384,1.042,16,293
106,ovl_Bg_Menkuri_Nisekabe,False,336,336,1.0,0,165
107,ovl_Bg_Mizu_Bwall,False,5328,6064,0.879,-736,4638
108,ovl_Bg_Mizu_Movebg,False,4496,4624,0.972,-128,3726
109,ovl_Bg_Mizu_Shutter,False,2048,2192,0.934,-144,1801
110,ovl_Bg_Mizu_Uzu,False,464,464,1.0,0,297
111,ovl_Bg_Mizu_Water,False,3280,3792,0.865,-512,2964
112,ovl_Bg_Mjin,False,992,1088,0.912,-96,861
113,ovl_Bg_Mori_Bigst,False,2352,3136,0.75,-784,2102
114,ovl_Bg_Mori_Elevator,False,2800,3424,0.818,-624,2439
115,ovl_Bg_Mori_Hashigo,False,2240,2816,0.795,-576,1927
116,ovl_Bg_Mori_Hashira4,False,1408,1888,0.746,-480,1252
117,ovl_Bg_Mori_Hineri,False,3328,3696,0.9,-368,2953
118,ovl_Bg_Mori_Idomizu,False,1600,1920,0.833,-320,1370
119,ovl_Bg_Mori_Kaitenkabe,False,1632,1968,0.829,-336,1368
120,ovl_Bg_Mori_Rakkatenjo,False,2416,3232,0.748,-816,2173
121,ovl_Bg_Po_Event,False,7728,7824,0.988,-96,5075
122,ovl_Bg_Po_Syokudai,False,2384,2608,0.914,-224,2040
123,ovl_Bg_Pushbox,False,768,880,0.873,-112,650
124,ovl_Bg_Relay_Objects,False,1968,1936,1.017,32,1621
125,ovl_Bg_Spot00_Break,False,416,416,1.0,0,280
126,ovl_Bg_Spot00_Hanebasi,False,4368,4672,0.935,-304,3727
127,ovl_Bg_Spot01_Fusya,False,672,800,0.84,-128,579
128,ovl_Bg_Spot01_Idohashira,False,3072,3584,0.857,-512,2610
129,ovl_Bg_Spot01_Idomizu,False,784,928,0.845,-144,541
130,ovl_Bg_Spot01_Idosoko,False,528,704,0.75,-176,443
131,ovl_Bg_Spot01_Objects2,False,1216,1312,0.927,-96,855
132,ovl_Bg_Spot02_Objects,False,4944,5248,0.942,-304,4309
133,ovl_Bg_Spot03_Taki,False,2288,2448,0.935,-160,1366
134,ovl_Bg_Spot05_Soko,False,800,784,1.02,16,640
135,ovl_Bg_Spot06_Objects,False,5136,5296,0.97,-160,4269
136,ovl_Bg_Spot07_Taki,False,1488,1696,0.877,-208,1267
137,ovl_Bg_Spot08_Bakudankabe,False,1696,1680,1.01,16,710
138,ovl_Bg_Spot08_Iceblock,False,4160,4480,0.929,-320,3710
139,ovl_Bg_Spot09_Obj,False,1296,1696,0.764,-400,912
140,ovl_Bg_Spot11_Bakudankabe,False,1600,1648,0.971,-48,636
141,ovl_Bg_Spot11_Oasis,False,1840,1952,0.943,-112,1518
142,ovl_Bg_Spot12_Gate,False,1040,1168,0.89,-128,895
143,ovl_Bg_Spot12_Saku,False,1216,1344,0.905,-128,1055
144,ovl_Bg_Spot15_Rrbox,False,3552,3824,0.929,-272,3105
145,ovl_Bg_Spot15_Saku,False,832,992,0.839,-160,720
146,ovl_Bg_Spot16_Bombstone,False,5440,6160,0.883,-720,4656
147,ovl_Bg_Spot16_Doughnut,False,1456,1920,0.758,-464,1291
148,ovl_Bg_Spot17_Bakudankabe,False,1760,2112,0.833,-352,882
149,ovl_Bg_Spot17_Funen,False,592,784,0.755,-192,508
150,ovl_Bg_Spot18_Basket,False,4080,4208,0.97,-128,3305
151,ovl_Bg_Spot18_Futa,False,416,400,1.04,16,316
152,ovl_Bg_Spot18_Obj,False,2256,2752,0.82,-496,1999
153,ovl_Bg_Spot18_Shutter,False,1360,1344,1.012,16,1121
154,ovl_Bg_Sst_Floor,False,1376,1520,0.905,-144,1210
155,ovl_Bg_Toki_Hikari,False,3488,3904,0.893,-416,2896
156,ovl_Bg_Toki_Swd,False,5712,5824,0.981,-112,2683
157,ovl_Bg_Treemouth,False,5728,5856,0.978,-128,4046
158,ovl_Bg_Umajump,False,400,384,1.042,16,301
159,ovl_Bg_Vb_Sima,False,1808,1952,0.926,-144,1539
160,ovl_Bg_Ydan_Hasi,False,1968,2112,0.932,-144,1699
161,ovl_Bg_Ydan_Maruta,False,1760,1744,1.009,16,1372
162,ovl_Bg_Ydan_Sp,False,6000,6160,0.974,-160,5005
163,ovl_Bg_Zg,False,1136,1392,0.816,-256,1001
164,ovl_Boss_Dodongo,False,39648,39984,0.992,-336,34782
165,ovl_Boss_Fd,False,29488,30896,0.954,-1408,25772
166,ovl_Boss_Fd2,False,15664,16896,0.927,-1232,13259
167,ovl_Boss_Ganon,False,139872,142160,0.984,-2288,124290
168,ovl_Boss_Ganon2,False,70400,72672,0.969,-2272,60199
169,ovl_Boss_Ganondrof,False,19824,21456,0.924,-1632,17041
170,ovl_Boss_Goma,False,24448,24816,0.985,-368,19239
171,ovl_Boss_Mo,False,46496,49088,0.947,-2592,38245
172,ovl_Boss_Sst,False,50464,50880,0.992,-416,43851
173,ovl_Boss_Tw,False,77952,80752,0.965,-2800,69400
174,ovl_Boss_Va,False,59376,60560,0.98,-1184,51585
175,ovl_Demo_6K,False,11536,12672,0.91,-1136,10471
176,ovl_Demo_Du,False,14304,14816,0.965,-512,11705
177,ovl_Demo_Ec,False,14432,15008,0.962,-576,11815
