Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
113,ovl_Bg_Mori_Bigst,False,2352,3136,0.75,-784,2098
114,ovl_Bg_Mori_Elevator,False,2800,3424,0.818,-624,2439
115,ovl_Bg_Mori_Hashigo,False,2240,2816,0.795,-576,1929
116,ovl_Bg_Mori_Hashira4,False,1408,1888,0.746,-480,1248
117,ovl_Bg_Mori_Hineri,False,3408,3696,0.922,-288,3033
118,ovl_Bg_Mori_Idomizu,False,1600,1920,0.833,-320,1381
119,ovl_Bg_Mori_Kaitenkabe,False,1648,1968,0.837,-320,1391
120,ovl_Bg_Mori_Rakkatenjo,False,2432,3232,0.752,-800,2185
121,ovl_Bg_Po_Event,False,7728,7824,0.988,-96,5046
122,ovl_Bg_Po_Syokudai,False,2416,2608,0.926,-192,2077
123,ovl_Bg_Pushbox,False,768,880,0.873,-112,651
124,ovl_Bg_Relay_Objects,False,1968,1936,1.017,32,1621
125,ovl_Bg_Spot00_Break,False,416,416,1.0,0,275
126,ovl_Bg_Spot00_Hanebasi,False,4368,4672,0.935,-304,3581
127,ovl_Bg_Spot01_Fusya,False,672,800,0.84,-128,581
128,ovl_Bg_Spot01_Idohashira,False,3072,3584,0.857,-512,2613
129,ovl_Bg_Spot01_Idomizu,False,800,928,0.862,-128,547
130,ovl_Bg_Spot01_Idosoko,False,528,704,0.75,-176,433
131,ovl_Bg_Spot01_Objects2,False,1216,1312,0.927,-96,859
132,ovl_Bg_Spot02_Objects,False,4960,5248,0.945,-288,4335
133,ovl_Bg_Spot03_Taki,False,2336,2448,0.954,-112,1322
134,ovl_Bg_Spot05_Soko,False,800,784,1.02,16,640
135,ovl_Bg_Spot06_Objects,False,5120,5296,0.967,-176,4314
136,ovl_Bg_Spot07_Taki,False,1520,1696,0.896,-176,1281
137,ovl_Bg_Spot08_Bakudankabe,False,1696,1680,1.01,16,711
138,ovl_Bg_Spot08_Iceblock,False,4160,4480,0.929,-320,3704
139,ovl_Bg_Spot09_Obj,False,1312,1696,0.774,-384,937
140,ovl_Bg_Spot11_Bakudankabe,False,1600,1648,0.971,-48,629
141,ovl_Bg_Spot11_Oasis,False,1840,1952,0.943,-112,1521
142,ovl_Bg_Spot12_Gate,False,1040,1168,0.89,-128,896
143,ovl_Bg_Spot12_Saku,False,1216,1344,0.905,-128,1056
144,ovl_Bg_Spot15_Rrbox,False,3552,3824,0.929,-272,3105
145,ovl_Bg_Spot15_Saku,False,832,992,0.839,-160,720
146,ovl_Bg_Spot16_Bombstone,False,5456,6160,0.886,-704,4663
147,ovl_Bg_Spot16_Doughnut,False,1472,1920,0.767,-448,1276
148,ovl_Bg_Spot17_Bakudankabe,False,1776,2112,0.841,-336,882
149,ovl_Bg_Spot17_Funen,False,592,784,0.755,-192,507
150,ovl_Bg_Spot18_Basket,False,4080,4208,0.97,-128,3305
151,ovl_Bg_Spot18_Futa,False,416,400,1.04,16,316
152,ovl_Bg_Spot18_Obj,False,2256,2752,0.82,-496,1996
153,ovl_Bg_Spot18_Shutter,False,1360,1344,1.012,16,1120
154,ovl_Bg_Sst_Floor,False,1376,1520,0.905,-144,1210
