Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
109,ovl_Bg_Mizu_Shutter,False,5584,2192,2.547,3392,2010
110,ovl_Bg_Mizu_Uzu,False,2800,464,6.034,2336,422
111,ovl_Bg_Mizu_Water,False,2288,3792,0.603,-1504,2092
112,ovl_Bg_Mjin,False,17056,1088,15.676,15968,993
113,ovl_Bg_Mori_Bigst,False,3120,3136,0.995,-16,2770
114,ovl_Bg_Mori_Elevator,False,1008,3424,0.294,-2416,901
115,ovl_Bg_Mori_Hashigo,False,6144,2816,2.182,3328,2545
116,ovl_Bg_Mori_Hashira4,False,400,1888,0.212,-1488,347
117,ovl_Bg_Mori_Hineri,False,1168,3696,0.316,-2528,1029
118,ovl_Bg_Mori_Idomizu,False,9888,1920,5.15,7968,1745
119,ovl_Bg_Mori_Kaitenkabe,False,4496,1968,2.285,2528,1800
120,ovl_Bg_Mori_Rakkatenjo,False,3280,3232,1.015,48,2864
121,ovl_Bg_Po_Event,False,3424,7824,0.438,-4400,3075
122,ovl_Bg_Po_Syokudai,False,10544,2608,4.043,7936,2412
123,ovl_Bg_Pushbox,False,3328,880,3.782,2448,776
124,ovl_Bg_Relay_Objects,False,15568,1936,8.041,13632,1769
125,ovl_Bg_Spot00_Break,False,3488,416,8.385,3072,364
126,ovl_Bg_Spot00_Hanebasi,False,1552,4672,0.332,-3120,1401
127,ovl_Bg_Spot01_Fusya,False,5712,800,7.14,4912,733
128,ovl_Bg_Spot01_Idohashira,False,9760,3584,2.723,6176,3278
129,ovl_Bg_Spot01_Idomizu,False,992,928,1.069,64,813
130,ovl_Bg_Spot01_Idosoko,False,1408,704,2.0,704,618
131,ovl_Bg_Spot01_Objects2,False,352,1312,0.268,-960,306
132,ovl_Bg_Spot02_Objects,False,3760,5248,0.716,-1488,3385
133,ovl_Bg_Spot03_Taki,False,1216,2448,0.497,-1232,1097
134,ovl_Bg_Spot05_Soko,False,4560,784,5.816,3776,699
135,ovl_Bg_Spot06_Objects,False,1152,5296,0.218,-4144,1034
136,ovl_Bg_Spot07_Taki,False,832,1696,0.491,-864,725
137,ovl_Bg_Spot08_Bakudankabe,False,4768,1680,2.838,3088,1486
138,ovl_Bg_Spot08_Iceblock,False,336,4480,0.075,-4144,298
139,ovl_Bg_Spot09_Obj,False,256,1696,0.151,-1440,205
140,ovl_Bg_Spot11_Bakudankabe,False,14784,1648,8.971,13136,1511
141,ovl_Bg_Spot11_Oasis,False,7728,1952,3.959,5776,1741
142,ovl_Bg_Spot12_Gate,False,2352,1168,2.014,1184,1041
143,ovl_Bg_Spot12_Saku,False,2800,1344,2.083,1456,1224
144,ovl_Bg_Spot15_Rrbox,False,1632,3824,0.427,-2192,1460
145,ovl_Bg_Spot15_Saku,False,2416,992,2.435,1424,901
