extracting baserom/ovl_Bg_Spot00_Hanebasi (0x00C823F0, 0x00C83500)
extracting baserom/ovl_En_Mb (0x00C83500, 0x00C87640)
extracting baserom/ovl_En_Bombf (0x00C87640, 0x00C88AB0)
extracting baserom/ovl_Bg_Hidan_Firewall (0x00C88AB0, 0x00C89210)
extracting baserom/ovl_Bg_Dy_Yoseizo (0x00C89210, 0x00C8BF60)
extracting baserom/ovl_En_Zl2 (0x00C8BF60, 0x00C90690)
extracting baserom/ovl_Bg_Hidan_Fslift (0x00C90690, 0x00C90B60)
extracting baserom/ovl_En_OE2 (0x00C90B60, 0x00C90C40)
extracting baserom/ovl_Bg_Ydan_Hasi (0x00C90C40, 0x00C913F0)
extracting baserom/ovl_Bg_Ydan_Maruta (0x00C913F0, 0x00C91AD0)
extracting baserom/ovl_Boss_Ganondrof (0x00C91AD0, 0x00C96840)
extracting baserom/ovl_En_Am (0x00C96840, 0x00C98C40)
extracting baserom/ovl_En_Dekubaba (0x00C98C40, 0x00C9C6E0)
extracting baserom/ovl_En_M_Fire1 (0x00C9C6E0, 0x00C9C880)
extracting baserom/ovl_En_M_Thunder (0x00C9C880, 0x00C9DE70)
extracting baserom/ovl_Bg_Ddan_Jd (0x00C9DE70, 0x00C9E4C0)
extracting baserom/ovl_Bg_Breakwall (0x00C9E4C0, 0x00C9F330)
extracting baserom/ovl_En_Jj (0x00C9F330, 0x00CA0900)
extracting baserom/ovl_En_Horse_Zelda (0x00CA0900, 0x00CA13F0)
extracting baserom/ovl_Bg_Ddan_Kd (0x00CA13F0, 0x00CA1CE0)
extracting baserom/ovl_Door_Warp1 (0x00CA1CE0, 0x00CA5F80)
extracting baserom/ovl_Obj_Syokudai (0x00CA5F80, 0x00CA6BB0)
extracting baserom/ovl_Item_B_Heart (0x00CA6BB0, 0x00CA6FA0)
extracting baserom/ovl_En_Dekunuts (0x00CA6FA0, 0x00CA87A0)
extracting baserom/ovl_Bg_Menkuri_Kaiten (0x00CA87A0, 0x00CA8930)
extracting baserom/ovl_Bg_Menkuri_Eye (0x00CA8930, 0x00CA8DC0)
extracting baserom/ovl_En_Vali (0x00CA8DC0, 0x00CAB460)
extracting baserom/ovl_Bg_Mizu_Movebg (0x00CAB460, 0x00CAC5F0)
extracting baserom/ovl_Bg_Mizu_Water (0x00CAC5F0, 0x00CAD2C0)
extracting baserom/ovl_Arms_Hook (0x00CAD2C0, 0x00CAE020)
extracting baserom/ovl_En_fHG (0x00CAE020, 0x00CB0950)
extracting baserom/ovl_Bg_Mori_Hineri (0x00CB0950, 0x00CB1620)
extracting baserom/ovl_En_Bb (0x00CB1620, 0x00CB52F0)
extracting baserom/ovl_Bg_Toki_Hikari (0x00CB52F0, 0x00CB6090)
extracting baserom/ovl_En_Yukabyun (0x00CB6090, 0x00CB66A0)
extracting baserom/ovl_Bg_Toki_Swd (0x00CB66A0, 0x00CB7CF0)
extracting baserom/ovl_En_Fhg_Fire (0x00CB7CF0, 0x00CBA310)
extracting baserom/ovl_Bg_Mjin (0x00CBA310, 0x00CBA6F0)
extracting baserom/ovl_Bg_Hidan_Kousi (0x00CBA6F0, 0x00CBAC70)
extracting baserom/ovl_Door_Toki (0x00CBAC70, 0x00CBADD0)
extracting baserom/ovl_Bg_Hidan_Hamstep (0x00CBADD0, 0x00CBBC60)
extracting baserom/ovl_En_Bird (0x00CBBC60, 0x00CBC120)
extracting baserom/ovl_En_Wood02 (0x00CBC120, 0x00CBD2F0)
extracting baserom/ovl_En_Lightbox (0x00CBD2F0, 0x00CBD770)
extracting baserom/ovl_En_Pu_box (0x00CBD770, 0x00CBDAB0)
extracting baserom/ovl_En_Trap (0x00CBDAB0, 0x00CBED50)
extracting baserom/ovl_En_Arow_Trap (0x00CBED50, 0x00CBEEA0)
extracting baserom/ovl_En_Vase (0x00CBEEA0, 0x00CBEFA0)
extracting baserom/ovl_En_Ta (0x00CBEFA0, 0x00CC2960)
extracting baserom/ovl_En_Tk (0x00CC2960, 0x00CC4790)
extracting baserom/ovl_Bg_Mori_Bigst (0x00CC4790, 0x00CC50C0)
extracting baserom/ovl_Bg_Mori_Elevator (0x00CC50C0, 0x00CC5BB0)
extracting baserom/ovl_Bg_Mori_Kaitenkabe (0x00CC5BB0, 0x00CC6210)
extracting baserom/ovl_Bg_Mori_Rakkatenjo (0x00CC6210, 0x00CC6B80)
extracting baserom/ovl_En_Vm (0x00CC6B80, 0x00CC8430)
extracting baserom/ovl_Demo_Effect (0x00CC8430, 0x00CCDF30)
extracting baserom/ovl_Demo_Kankyo (0x00CCDF30, 0x00CD1BE0)
extracting baserom/ovl_Bg_Hidan_Fwbig (0x00CD1BE0, 0x00CD28C0)
extracting baserom/ovl_En_Floormas (0x00CD28C0, 0x00CD5CA0)
extracting baserom/ovl_En_Heishi1 (0x00CD5CA0, 0x00CD71B0)
extracting baserom/ovl_En_Rd (0x00CD71B0, 0x00CD9A60)
extracting baserom/ovl_En_Po_Sisters (0x00CD9A60, 0x00CDE750)
extracting baserom/ovl_Bg_Heavy_Block (0x00CDE750, 0x00CE0040)
extracting baserom/ovl_Bg_Po_Event (0x00CE0040, 0x00CE1E70)
extracting baserom/ovl_Obj_Mure (0x00CE1E70, 0x00CE2E80)
extracting baserom/ovl_En_Sw (0x00CE2E80, 0x00CE65F0)
extracting baserom/ovl_Boss_Fd (0x00CE65F0, 0x00CED920)
extracting baserom/ovl_Object_Kankyo (0x00CED920, 0x00CF0B40)
extracting baserom/ovl_En_Du (0x00CF0B40, 0x00CF25E0)
extracting baserom/ovl_En_Fd (0x00CF25E0, 0x00CF52A0)
extracting baserom/ovl_En_Horse_Link_Child (0x00CF52A0, 0x00CF70A0)
extracting baserom/ovl_Door_Ana (0x00CF70A0, 0x00CF7710)
extracting baserom/ovl_Bg_Spot02_Objects (0x00CF7710, 0x00CF8A60)
extracting baserom/ovl_Bg_Haka (0x00CF8A60, 0x00CF9120)
extracting baserom/ovl_Magic_Wind (0x00CF9120, 0x00CFAE20)
extracting baserom/ovl_Magic_Fire (0x00CFAE20, 0x00CFD0F0)
extracting baserom/ovl_En_Ru1 (0x00CFD0F0, 0x00D04790)
extracting baserom/ovl_Boss_Fd2 (0x00D04790, 0x00D084C0)
extracting baserom/ovl_En_Fd_Fire (0x00D084C0, 0x00D091D0)
extracting baserom/ovl_En_Dh (0x00D091D0, 0x00D0ACA0)
extracting baserom/ovl_En_Dha (0x00D0ACA0, 0x00D0BC70)
